Metoda;x0;Rho;Kryterium;Wyznaczony_Pierwiastek;Liczba_Iteracji;Blad_Bezwzgledny;Status
Newton-Raphson;0.0;0.01;incremental;0.565788520227987;8;0.00011439409720070959;Sukces
Newton-Raphson;0.0;0.01;residual;0.5610782810992289;7;0.00482463322595883;Sukces
Newton-Raphson;-0.1;0.01;incremental;0.5657877626338481;9;0.0001151516913395767;Sukces
Newton-Raphson;-0.1;0.01;residual;0.5610622033027131;8;0.004840711022474631;Sukces
Newton-Raphson;-0.2;0.01;incremental;0.565787483563257;10;0.00011543076193065716;Sukces
Newton-Raphson;-0.2;0.01;residual;0.5610562939386463;9;0.004846620386541378;Sukces
Newton-Raphson;-0.3;0.01;incremental;0.5657873809348384;11;0.00011553339034930943;Sukces
Newton-Raphson;-0.3;0.01;residual;0.5610541225335035;10;0.004848791791684182;Sukces
Newton-Raphson;-0.4;0.01;incremental;0.5657873432162605;12;0.0001155711089272371;Sukces
Newton-Raphson;-0.4;0.01;residual;0.5610533247248555;11;0.004849589600332216;Sukces
Newton-Raphson;1.0;0.001;incremental;0.5659019278209457;69;9.865042419621162e-07;Sukces
Newton-Raphson;1.0;0.001;residual;0.565458111344819;68;0.0004448029803686415;Sukces
Newton-Raphson;0.9;0.001;incremental;0.5659004776225169;27;2.4367026707494688e-06;Sukces
Newton-Raphson;0.9;0.001;residual;0.5652035510128028;26;0.0006993633123848486;Sukces
Newton-Raphson;0.8;0.001;incremental;0.5659018479077312;11;1.0664174564523066e-06;Sukces
Newton-Raphson;0.8;0.001;residual;0.5654404326071262;10;0.0004624817180615137;Sukces
Newton-Raphson;0.7;0.001;incremental;0.5659029129283369;6;1.3968507461825652e-09;Sukces
Newton-Raphson;0.7;0.001;residual;0.5658861886109315;5;1.6725714256149438e-05;Sukces
Newton-Raphson;0.6;0.001;incremental;0.5659026986603266;3;2.1566486108071103e-07;Sukces
Newton-Raphson;0.6;0.001;residual;0.5656950226096278;2;0.0002078917155599047;Sukces
Newton-Raphson;0.5;0.001;incremental;0.5659029137580497;4;5.671380032268303e-10;Sukces
Newton-Raphson;0.5;0.001;residual;0.5644384557824392;2;0.001464458542748459;Sukces
Newton-Raphson;0.4;0.001;incremental;0.5659028961461298;5;1.8179057925671316e-08;Sukces
Newton-Raphson;0.4;0.001;residual;0.5658425713366506;4;6.0342988537076536e-05;Sukces
Newton-Raphson;0.3;0.001;incremental;0.5659028713198294;6;4.300535827450602e-08;Sukces
Newton-Raphson;0.3;0.001;residual;0.565810097689048;5;9.281663613969204e-05;Sukces
Newton-Raphson;0.2;0.001;incremental;0.5659028572992436;7;5.702594407797079e-08;Sukces
Newton-Raphson;0.2;0.001;residual;0.5657960307623778;6;0.00010688356280985634;Sukces
Newton-Raphson;0.1;0.001;incremental;0.5659028513217504;8;6.30034372450794e-08;Sukces
Newton-Raphson;0.1;0.001;residual;0.565790567516595;7;0.00011234680859273372;Sukces
Newton-Raphson;0.0;0.001;incremental;0.5659028490050575;9;6.5320130193669e-08;Sukces
Newton-Raphson;0.0;0.001;residual;0.565788520227987;8;0.00011439409720070959;Sukces
Newton-Raphson;-0.1;0.001;incremental;0.565902848137172;10;6.618801573488042e-08;Sukces
Newton-Raphson;-0.1;0.001;residual;0.5657877626338481;9;0.0001151516913395767;Sukces
Newton-Raphson;-0.2;0.001;incremental;0.5659028478160308;11;6.650915684858205e-08;Sukces
Newton-Raphson;-0.2;0.001;residual;0.565787483563257;10;0.00011543076193065716;Sukces
Newton-Raphson;-0.3;0.001;incremental;0.5659028476977356;12;6.662745211105658e-08;Sukces
Newton-Raphson;-0.3;0.001;residual;0.5657873809348384;11;0.00011553339034930943;Sukces
Newton-Raphson;-0.4;0.001;incremental;0.5659028476542327;13;6.66709549790312e-08;Sukces
Newton-Raphson;-0.4;0.001;residual;0.5657873432162605;12;0.0001155711089272371;Sukces
Newton-Raphson;1.0;0.0001;incremental;0.5659029143203281;70;4.859557201086773e-12;Sukces
Newton-Raphson;1.0;0.0001;residual;0.5659019278209457;69;9.865042419621162e-07;Sukces
Newton-Raphson;0.9;0.0001;incremental;0.565902914295539;28;2.964872791721973e-11;Sukces
Newton-Raphson;0.9;0.0001;residual;0.5659004776225169;27;2.4367026707494688e-06;Sukces
Newton-Raphson;0.8;0.0001;incremental;0.5659029143195088;12;5.678901793260138e-12;Sukces
Newton-Raphson;0.8;0.0001;residual;0.5659018479077312;11;1.0664174564523066e-06;Sukces
Newton-Raphson;0.7;0.0001;incremental;0.5659029129283369;6;1.3968507461825652e-09;Sukces
Newton-Raphson;0.7;0.0001;residual;0.5658861886109315;5;1.6725714256149438e-05;Sukces
Newton-Raphson;0.6;0.0001;incremental;0.5659029143249554;4;2.3225865675158275e-13;Sukces
Newton-Raphson;0.6;0.0001;residual;0.5659026986603266;3;2.1566486108071103e-07;Sukces
Newton-Raphson;0.5;0.0001;incremental;0.5659029137580497;4;5.671380032268303e-10;Sukces
Newton-Raphson;0.5;0.0001;residual;0.5658922569637943;3;1.065736139338469e-05;Sukces
Newton-Raphson;0.4;0.0001;incremental;0.5659028961461298;5;1.8179057925671316e-08;Sukces
Newton-Raphson;0.4;0.0001;residual;0.5658425713366506;4;6.0342988537076536e-05;Sukces
Newton-Raphson;0.3;0.0001;incremental;0.5659028713198294;6;4.300535827450602e-08;Sukces
Newton-Raphson;0.3;0.0001;residual;0.565810097689048;5;9.281663613969204e-05;Sukces
Newton-Raphson;0.2;0.0001;incremental;0.5659029143251715;8;1.6209256159527285e-14;Sukces
Newton-Raphson;0.2;0.0001;residual;0.5657960307623778;6;0.00010688356280985634;Sukces
Newton-Raphson;0.1;0.0001;incremental;0.5659029143251679;9;1.9761969838327786e-14;Sukces
Newton-Raphson;0.1;0.0001;residual;0.565790567516595;7;0.00011234680859273372;Sukces
Newton-Raphson;0.0;0.0001;incremental;0.5659029143251664;10;2.1316282072803006e-14;Sukces
Newton-Raphson;0.0;0.0001;residual;0.565788520227987;8;0.00011439409720070959;Sukces
Newton-Raphson;-0.1;0.0001;incremental;0.5659029143251658;11;2.1871393585115584e-14;Sukces
Newton-Raphson;-0.1;0.0001;residual;0.5657877626338481;9;0.0001151516913395767;Sukces
Newton-Raphson;-0.2;0.0001;incremental;0.5659029143251656;12;2.2093438190040615e-14;Sukces
Newton-Raphson;-0.2;0.0001;residual;0.565787483563257;10;0.00011543076193065716;Sukces
Newton-Raphson;-0.3;0.0001;incremental;0.5659029143251655;13;2.220446049250313e-14;Sukces
Newton-Raphson;-0.3;0.0001;residual;0.5657873809348384;11;0.00011553339034930943;Sukces
Newton-Raphson;-0.4;0.0001;incremental;0.5659029143251655;14;2.220446049250313e-14;Sukces
Newton-Raphson;-0.4;0.0001;residual;0.5657873432162605;12;0.0001155711089272371;Sukces
Newton-Raphson;1.0;1e-05;incremental;0.5659029143203281;70;4.859557201086773e-12;Sukces
Newton-Raphson;1.0;1e-05;residual;0.5659019278209457;69;9.865042419621162e-07;Sukces
Newton-Raphson;0.9;1e-05;incremental;0.565902914295539;28;2.964872791721973e-11;Sukces
Newton-Raphson;0.9;1e-05;residual;0.5659004776225169;27;2.4367026707494688e-06;Sukces
Newton-Raphson;0.8;1e-05;incremental;0.5659029143195088;12;5.678901793260138e-12;Sukces
Newton-Raphson;0.8;1e-05;residual;0.5659018479077312;11;1.0664174564523066e-06;Sukces
Newton-Raphson;0.7;1e-05;incremental;0.5659029143251877;7;0.0;Sukces
Newton-Raphson;0.7;1e-05;residual;0.5658861886109315;5;1.6725714256149438e-05;Sukces
Newton-Raphson;0.6;1e-05;incremental;0.5659029143249554;4;2.3225865675158275e-13;Sukces
Newton-Raphson;0.6;1e-05;residual;0.5659026986603266;3;2.1566486108071103e-07;Sukces
Newton-Raphson;0.5;1e-05;incremental;0.5659029143251877;5;0.0;Sukces
Newton-Raphson;0.5;1e-05;residual;0.5658922569637943;3;1.065736139338469e-05;Sukces
Newton-Raphson;0.4;1e-05;incremental;0.565902914325186;6;1.6653345369377348e-15;Sukces
Newton-Raphson;0.4;1e-05;residual;0.5659028961461298;5;1.8179057925671316e-08;Sukces
Newton-Raphson;0.3;1e-05;incremental;0.5659029143251784;7;9.325873406851315e-15;Sukces
Newton-Raphson;0.3;1e-05;residual;0.5659028713198294;6;4.300535827450602e-08;Sukces
Newton-Raphson;0.2;1e-05;incremental;0.5659029143251715;8;1.6209256159527285e-14;Sukces
Newton-Raphson;0.2;1e-05;residual;0.5659028572992436;7;5.702594407797079e-08;Sukces
Newton-Raphson;0.1;1e-05;incremental;0.5659029143251679;9;1.9761969838327786e-14;Sukces
Newton-Raphson;0.1;1e-05;residual;0.5659028513217504;8;6.30034372450794e-08;Sukces
Newton-Raphson;0.0;1e-05;incremental;0.5659029143251664;10;2.1316282072803006e-14;Sukces
Newton-Raphson;0.0;1e-05;residual;0.5659028490050575;9;6.5320130193669e-08;Sukces
Newton-Raphson;-0.1;1e-05;incremental;0.5659029143251658;11;2.1871393585115584e-14;Sukces
Newton-Raphson;-0.1;1e-05;residual;0.565902848137172;10;6.618801573488042e-08;Sukces
Newton-Raphson;-0.2;1e-05;incremental;0.5659029143251656;12;2.2093438190040615e-14;Sukces
Newton-Raphson;-0.2;1e-05;residual;0.5659028478160308;11;6.650915684858205e-08;Sukces
Newton-Raphson;-0.3;1e-05;incremental;0.5659029143251655;13;2.220446049250313e-14;Sukces
Newton-Raphson;-0.3;1e-05;residual;0.5659028476977356;12;6.662745211105658e-08;Sukces
Newton-Raphson;-0.4;1e-05;incremental;0.5659029143251655;14;2.220446049250313e-14;Sukces
Newton-Raphson;-0.4;1e-05;residual;0.5659028476542327;13;6.66709549790312e-08;Sukces
Newton-Raphson;1.0;1e-07;incremental;0.5659029143251877;71;0.0;Sukces
Newton-Raphson;1.0;1e-07;residual;0.5659029143203281;70;4.859557201086773e-12;Sukces
Newton-Raphson;0.9;1e-07;incremental;0.5659029143251877;29;0.0;Sukces
Newton-Raphson;0.9;1e-07;residual;0.565902914295539;28;2.964872791721973e-11;Sukces
Newton-Raphson;0.8;1e-07;incremental;0.5659029143251877;13;0.0;Sukces
Newton-Raphson;0.8;1e-07;residual;0.5659029143195088;12;5.678901793260138e-12;Sukces
Newton-Raphson;0.7;1e-07;incremental;0.5659029143251877;7;0.0;Sukces
Newton-Raphson;0.7;1e-07;residual;0.5659029129283369;6;1.3968507461825652e-09;Sukces
Newton-Raphson;0.6;1e-07;incremental;0.5659029143251877;5;0.0;Sukces
Newton-Raphson;0.6;1e-07;residual;0.5659029143249554;4;2.3225865675158275e-13;Sukces
Newton-Raphson;0.5;1e-07;incremental;0.5659029143251877;5;0.0;Sukces
Newton-Raphson;0.5;1e-07;residual;0.5659029137580497;4;5.671380032268303e-10;Sukces
Newton-Raphson;0.4;1e-07;incremental;0.565902914325186;6;1.6653345369377348e-15;Sukces
Newton-Raphson;0.4;1e-07;residual;0.5659028961461298;5;1.8179057925671316e-08;Sukces
Newton-Raphson;0.3;1e-07;incremental;0.5659029143251784;7;9.325873406851315e-15;Sukces
Newton-Raphson;0.3;1e-07;residual;0.5659028713198294;6;4.300535827450602e-08;Sukces
Newton-Raphson;0.2;1e-07;incremental;0.5659029143251715;8;1.6209256159527285e-14;Sukces
Newton-Raphson;0.2;1e-07;residual;0.5659028572992436;7;5.702594407797079e-08;Sukces
Newton-Raphson;0.1;1e-07;incremental;0.5659029143251679;9;1.9761969838327786e-14;Sukces
Newton-Raphson;0.1;1e-07;residual;0.5659028513217504;8;6.30034372450794e-08;Sukces
Newton-Raphson;0.0;1e-07;incremental;0.5659029143251664;10;2.1316282072803006e-14;Sukces
Newton-Raphson;0.0;1e-07;residual;0.5659028490050575;9;6.5320130193669e-08;Sukces
Newton-Raphson;-0.1;1e-07;incremental;0.5659029143251658;11;2.1871393585115584e-14;Sukces
Newton-Raphson;-0.1;1e-07;residual;0.565902848137172;10;6.618801573488042e-08;Sukces
Newton-Raphson;-0.2;1e-07;incremental;0.5659029143251656;12;2.2093438190040615e-14;Sukces
Newton-Raphson;-0.2;1e-07;residual;0.5659028478160308;11;6.650915684858205e-08;Sukces
Newton-Raphson;-0.3;1e-07;incremental;0.5659029143251655;13;2.220446049250313e-14;Sukces
Newton-Raphson;-0.3;1e-07;residual;0.5659028476977356;12;6.662745211105658e-08;Sukces
Newton-Raphson;-0.4;1e-07;incremental;0.5659029143251655;14;2.220446049250313e-14;Sukces
Newton-Raphson;-0.4;1e-07;residual;0.5659028476542327;13;6.66709549790312e-08;Sukces
Newton-Raphson;1.0;1e-10;incremental;0.5659029143251877;71;0.0;Sukces
Newton-Raphson;1.0;1e-10;residual;0.5659029143203281;70;4.859557201086773e-12;Sukces
Newton-Raphson;0.9;1e-10;incremental;0.5659029143251877;29;0.0;Sukces
Newton-Raphson;0.9;1e-10;residual;0.565902914295539;28;2.964872791721973e-11;Sukces
Newton-Raphson;0.8;1e-10;incremental;0.5659029143251877;13;0.0;Sukces
Newton-Raphson;0.8;1e-10;residual;0.5659029143195088;12;5.678901793260138e-12;Sukces
Newton-Raphson;0.7;1e-10;incremental;0.5659029143251877;8;0.0;Sukces
Newton-Raphson;0.7;1e-10;residual;0.5659029143251877;7;0.0;Sukces
Newton-Raphson;0.6;1e-10;incremental;0.5659029143251877;5;0.0;Sukces
Newton-Raphson;0.6;1e-10;residual;0.5659029143249554;4;2.3225865675158275e-13;Sukces
Newton-Raphson;0.5;1e-10;incremental;0.5659029143251877;6;0.0;Sukces
Newton-Raphson;0.5;1e-10;residual;0.5659029143251877;5;0.0;Sukces
Newton-Raphson;0.4;1e-10;incremental;0.5659029143251877;7;0.0;Sukces
Newton-Raphson;0.4;1e-10;residual;0.565902914325186;6;1.6653345369377348e-15;Sukces
Newton-Raphson;0.3;1e-10;incremental;0.5659029143251876;8;1.1102230246251565e-16;Sukces
Newton-Raphson;0.3;1e-10;residual;0.5659029143251784;7;9.325873406851315e-15;Sukces
Newton-Raphson;0.2;1e-10;incremental;0.5659029143251877;9;0.0;Sukces
Newton-Raphson;0.2;1e-10;residual;0.5659029143251715;8;1.6209256159527285e-14;Sukces
Newton-Raphson;0.1;1e-10;incremental;0.5659029143251877;10;0.0;Sukces
Newton-Raphson;0.1;1e-10;residual;0.5659029143251679;9;1.9761969838327786e-14;Sukces
Newton-Raphson;0.0;1e-10;incremental;0.5659029143251877;11;0.0;Sukces
Newton-Raphson;0.0;1e-10;residual;0.5659029143251664;10;2.1316282072803006e-14;Sukces
Newton-Raphson;-0.1;1e-10;incremental;0.5659029143251877;12;0.0;Sukces
Newton-Raphson;-0.1;1e-10;residual;0.5659029143251658;11;2.1871393585115584e-14;Sukces
Newton-Raphson;-0.2;1e-10;incremental;0.5659029143251877;13;0.0;Sukces
Newton-Raphson;-0.2;1e-10;residual;0.5659029143251656;12;2.2093438190040615e-14;Sukces
Newton-Raphson;-0.3;1e-10;incremental;0.5659029143251877;14;0.0;Sukces
Newton-Raphson;-0.3;1e-10;residual;0.5659029143251655;13;2.220446049250313e-14;Sukces
Newton-Raphson;-0.4;1e-10;incremental;0.5659029143251877;15;0.0;Sukces
Newton-Raphson;-0.4;1e-10;residual;0.5659029143251655;14;2.220446049250313e-14;Sukces
Newton-Raphson;1.0;1e-15;incremental;0.5659029143251877;72;0.0;Sukces
Newton-Raphson;1.0;1e-15;residual;0.5659029143251877;71;0.0;Sukces
Newton-Raphson;0.9;1e-15;incremental;0.5659029143251877;30;0.0;Sukces
Newton-Raphson;0.9;1e-15;residual;0.5659029143251877;29;0.0;Sukces
Newton-Raphson;0.8;1e-15;incremental;0.5659029143251877;14;0.0;Sukces
Newton-Raphson;0.8;1e-15;residual;0.5659029143251877;13;0.0;Sukces
Newton-Raphson;0.7;1e-15;incremental;0.5659029143251877;8;0.0;Sukces
Newton-Raphson;0.7;1e-15;residual;0.5659029143251877;7;0.0;Sukces
Newton-Raphson;0.6;1e-15;incremental;0.5659029143251877;6;0.0;Sukces
Newton-Raphson;0.6;1e-15;residual;0.5659029143251877;5;0.0;Sukces
Newton-Raphson;0.5;1e-15;incremental;0.5659029143251877;6;0.0;Sukces
Newton-Raphson;0.5;1e-15;residual;0.5659029143251877;5;0.0;Sukces
Newton-Raphson;0.4;1e-15;incremental;0.5659029143251877;8;0.0;Sukces
Newton-Raphson;0.4;1e-15;residual;0.565902914325186;6;1.6653345369377348e-15;Sukces
Newton-Raphson;0.3;1e-15;incremental;0.5659029143251877;9;0.0;Sukces
Newton-Raphson;0.3;1e-15;residual;0.5659029143251876;8;1.1102230246251565e-16;Sukces
Newton-Raphson;0.2;1e-15;incremental;0.5659029143251877;10;0.0;Sukces
Newton-Raphson;0.2;1e-15;residual;0.5659029143251877;9;0.0;Sukces
Newton-Raphson;0.1;1e-15;incremental;0.5659029143251877;11;0.0;Sukces
Newton-Raphson;0.1;1e-15;residual;0.5659029143251877;10;0.0;Sukces
Newton-Raphson;0.0;1e-15;incremental;0.5659029143251877;12;0.0;Sukces
Newton-Raphson;0.0;1e-15;residual;0.5659029143251877;11;0.0;Sukces
Newton-Raphson;-0.1;1e-15;incremental;0.5659029143251877;13;0.0;Sukces
Newton-Raphson;-0.1;1e-15;residual;0.5659029143251877;12;0.0;Sukces
Newton-Raphson;-0.2;1e-15;incremental;0.5659029143251877;14;0.0;Sukces
Newton-Raphson;-0.2;1e-15;residual;0.5659029143251877;13;0.0;Sukces
Newton-Raphson;-0.3;1e-15;incremental;0.5659029143251877;15;0.0;Sukces
Newton-Raphson;-0.3;1e-15;residual;0.5659029143251877;14;0.0;Sukces
Newton-Raphson;-0.4;1e-15;incremental;0.5659029143251877;16;0.0;Sukces
Newton-Raphson;-0.4;1e-15;residual;0.5659029143251877;15;0.0;Sukces
